valid_time,source,ghi,fetched_at
2026-08-11 17:00:00,era5,469.0,2026-09-14T14:28:17
2026-08-12 09:00:00,analysis,214.0,2026-09-14T15:08:27
2026-08-12 09:00:00,era5,239.0,2026-09-14T14:28:17
2026-08-12 10:00:00,analysis,419.0,2026-09-14T15:08:27
2026-08-12 10:00:00,era5,467.0,2026-09-14T14:28:17
2026-08-12 11:00:00,analysis,627.0,2026-09-14T15:08:27
2026-08-12 11:00:00,era5,649.0,2026-09-14T14:28:17
2026-08-12 12:00:00,analysis,827.0,2026-09-14T15:08:27
2026-08-12 12:00:00,era5,792.0,2026-09-14T14:28:17
2026-08-12 13:00:00,analysis,841.0,2026-09-14T15:08:27
2026-08-12 13:00:00,era5,863.0,2026-09-14T14:28:17
2026-08-12 14:00:00,analysis,867.0,2026-09-14T15:08:27
2026-08-12 14:00:00,era5,828.0,2026-09-14T14:28:17
2026-08-12 15:00:00,analysis,769.0,2026-09-14T15:08:27
2026-08-12 15:00:00,era5,768.0,2026-09-14T14:28:17
2026-08-12 16:00:00,analysis,571.0,2026-09-14T15:08:27
2026-08-12 16:00:00,era5,638.0,2026-09-14T14:28:17
2026-08-12 17:00:00,analysis,372.0,2026-09-14T15:08:27
2026-08-12 17:00:00,era5,452.0,2026-09-14T14:28:17
2026-08-13 09:00:00,analysis,146.0,2026-09-14T15:08:27
2026-08-13 09:00:00,era5,158.0,2026-09-14T14:28:17
2026-08-13 10:00:00,analysis,286.0,2026-09-14T15:08:27
2026-08-13 10:00:00,era5,362.0,2026-09-14T14:28:17
2026-08-13 11:00:00,analysis,415.0,2026-09-14T15:08:27
2026-08-13 11:00:00,era5,580.0,2026-09-14T14:28:17
2026-08-13 12:00:00,analysis,558.0,2026-09-14T15:08:27
2026-08-13 12:00:00,era5,680.0,2026-09-14T14:28:17
2026-08-13 13:00:00,analysis,696.0,2026-09-14T15:08:27
2026-08-13 13:00:00,era5,739.0,2026-09-14T14:28:17
2026-08-13 14:00:00,analysis,657.0,2026-09-14T15:08:27
2026-08-13 14:00:00,era5,693.0,2026-09-14T14:28:17
2026-08-13 15:00:00,analysis,499.0,2026-09-14T15:08:27
2026-08-13 15:00:00,era5,695.0,2026-09-14T14:28:17
2026-08-13 16:00:00,analysis,458.0,2026-09-14T15:08:27
2026-08-13 16:00:00,era5,567.0,2026-09-14T14:28:17
2026-08-13 17:00:00,analysis,352.0,2026-09-14T15:08:27
2026-08-13 17:00:00,era5,410.0,2026-09-14T14:28:17
2026-08-14 09:00:00,analysis,240.0,2026-09-14T15:08:27
2026-08-14 09:00:00,era5,191.0,2026-09-14T14:28:17
2026-08-14 10:00:00,analysis,491.0,2026-09-14T15:08:27
2026-08-14 10:00:00,era5,383.0,2026-09-14T14:28:17
2026-08-14 11:00:00,analysis,675.0,2026-09-14T15:08:27
2026-08-14 11:00:00,era5,612.0,2026-09-14T14:28:17
2026-08-14 12:00:00,analysis,801.0,2026-09-14T15:08:27
2026-08-14 12:00:00,era5,740.0,2026-09-14T14:28:17
2026-08-14 13:00:00,analysis,793.0,2026-09-14T15:08:27
2026-08-14 13:00:00,era5,866.0,2026-09-14T14:28:17
2026-08-14 14:00:00,analysis,465.0,2026-09-14T15:08:27
2026-08-14 14:00:00,era5,894.0,2026-09-14T14:28:17
2026-08-14 15:00:00,analysis,893.0,2026-09-14T15:08:27
2026-08-14 15:00:00,era5,836.0,2026-09-14T14:28:17
2026-08-14 16:00:00,analysis,761.0,2026-09-14T15:08:27
2026-08-14 16:00:00,era5,694.0,2026-09-14T14:28:17
